week,week_start_date,product,region,transaction_volume,revenue,new_customers,return_customers,return_rate_pct,conversion_rate_pct,satisfaction_score
2023-W02,2023-01-09,Mortgage,Wales,804,63613.54,250,373,46.51,27.81,3.79
2023-W02,2023-01-09,Credit Card,North,4731,323704.74,1013,1567,33.14,18.88,4.22
2023-W02,2023-01-09,Credit Card,South,4606,290805.4,1096,1589,34.5,24.13,3.97
2023-W02,2023-01-09,Credit Card,East,4621,295792.04,1473,2503,54.18,17.66,4.02
2023-W02,2023-01-09,Credit Card,West,4650,404278.96,954,1464,31.49,27.87,3.53
2023-W02,2023-01-09,Credit Card,Scotland,4382,189311.93,814,1659,37.88,31.92,4.62
2023-W02,2023-01-09,Credit Card,Wales,4292,358179.28,753,1585,36.93,28.39,3.92
2023-W02,2023-01-09,Business Loan,North,583,41333.22,93,196,33.7,14.98,3.74
2023-W02,2023-01-09,Business Loan,South,520,38595.48,167,161,30.99,27.08,4.03
2023-W02,2023-01-09,Business Loan,East,604,45824.2,97,187,31.08,30.58,4.08
2023-W02,2023-01-09,Business Loan,West,594,31406.12,169,216,36.51,34.29,4.11
2023-W02,2023-01-09,Business Loan,Scotland,636,48282.55,171,247,38.86,21.09,4.04
2023-W02,2023-01-09,Business Loan,Wales,579,36008.38,146,185,31.97,18.16,4.02
2023-W03,2023-01-16,Personal Current Account,North,5173,291185.34,1160,3210,62.06,33.39,4.52
2023-W03,2023-01-16,Personal Current Account,South,4811,292501.5,1339,2985,62.06,34.77,4.13
2023-W03,2023-01-16,Personal Current Account,East,5101,240532.42,1098,3165,62.06,32.49,3.8
2023-W03,2023-01-16,Personal Current Account,West,5006,284086.94,1159,3106,62.06,28.95,3.66
2023-W03,2023-01-16,Personal Current Account,Scotland,4469,283934.57,1540,2773,62.06,28.17,4.21
2023-W03,2023-01-16,Personal Current Account,Wales,4884,234508.39,776,3031,62.06,36.19,4.16
2023-W03,2023-01-16,Savings Account,North,2996,123665.19,814,1583,52.86,33.01,3.81
2023-W03,2023-01-16,Savings Account,South,2991,236419.67,752,1281,42.83,27.12,3.73
2023-W03,2023-01-16,Savings Account,East,3250,164916.17,1027,1256,38.66,12.85,3.69
2023-W03,2023-01-16,Savings Account,West,2964,175037.49,1036,1429,48.22,14.04,3.79
2023-W03,2023-01-16,Savings Account,Scotland,3102,269178.82,604,992,31.99,25.09,4.0
2023-W03,2023-01-16,Savings Account,Wales,2906,195898.26,678,1290,44.42,31.06,4.36
2023-W03,2023-01-16,Mortgage,North,801,53176.64,128,410,51.25,24.28,4.25
2023-W03,2023-01-16,Mortgage,South,752,46662.25,153,324,43.17,33.74,3.68
2023-W03,2023-01-16,Mortgage,East,805,42022.17,159,300,37.39,31.96,4.0
2023-W03,2023-01-16,Mortgage,West,830,52116.58,248,324,39.11,15.0,4.08
2023-W03,2023-01-16,Mortgage,Scotland,809,62001.69,263,291,36.09,21.41,3.61
2023-W03,2023-01-16,Mortgage,Wales,890,58101.13,296,345,38.86,28.99,4.05
2023-W03,2023-01-16,Credit Card,North,4688,292758.1,1095,2118,45.19,26.8,3.85
2023-W03,2023-01-16,Credit Card,South,4583,212028.2,1180,2324,50.73,32.19,3.71
2023-W03,2023-01-16,Credit Card,East,4622,320016.96,820,1860,40.25,18.77,3.99
2023-W03,2023-01-16,Credit Card,West,4507,251004.82,749,1678,37.23,22.95,4.31
2023-W03,2023-01-16,Credit Card,Scotland,4167,286692.05,1152,2276,54.64,32.09,3.89
2023-W03,2023-01-16,Credit Card,Wales,4623,387501.18,707,2429,52.56,15.14,4.73
2023-W03,2023-01-16,Business Loan,North,595,40298.72,199,218,36.64,31.31,4.28
2023-W03,2023-01-16,Business Loan,South,596,24855.45,140,197,33.22,29.94,4.68
2023-W03,2023-01-16,Business Loan,East,537,25034.34,173,294,54.81,35.88,4.13
2023-W03,2023-01-16,Business Loan,West,541,31225.65,124,284,52.67,26.48,3.35
2023-W03,2023-01-16,Business Loan,Scotland,610,28030.4,200,291,47.86,35.36,4.14
2023-W03,2023-01-16,Business Loan,Wales,589,41719.74,205,264,44.85,13.18,4.07
2023-W04,2023-01-23,Personal Current Account,North,5929,456161.97,1310,3681,62.09,23.67,4.02
2023-W04,2023-01-23,Personal Current Account,South,5153,311466.57,1236,3199,62.09,33.7,3.91
2023-W04,2023-01-23,Personal Current Account,East,5088,277115.67,1248,3159,62.09,15.5,4.03
2023-W04,2023-01-23,Personal Current Account,West,4876,239765.3,1478,3027,62.09,35.82,4.65
2023-W04,2023-01-23,Personal Current Account,Scotland,5353,464806.73,892,3323,62.09,35.29,4.14
2023-W04,2023-01-23,Personal Current Account,Wales,4308,300171.38,964,2674,62.09,28.88,3.99
2023-W04,2023-01-23,Savings Account,North,3486,215885.72,877,1379,39.57,27.29,4.03
2023-W04,2023-01-23,Savings Account,South,3198,143414.09,669,1717,53.71,20.87,4.53
2023-W04,2023-01-23,Savings Account,East,3039,257904.98,808,1343,44.19,33.95,3.85
2023-W04,2023-01-23,Savings Account,West,2561,143774.55,547,1043,40.76,16.64,4.31
2023-W04,2023-01-23,Savings Account,Scotland,2853,230235.27,847,960,33.67,37.72,4.15
2023-W04,2023-01-23,Savings Account,Wales,2775,183029.98,735,981,35.36,28.0,4.02
2023-W04,2023-01-23,Mortgage,North,801,43445.88,139,260,32.58,19.12,4.18
2023-W04,2023-01-23,Mortgage,South,746,62863.52,154,306,41.06,35.86,4.46
2023-W04,2023-01-23,Mortgage,East,771,59886.22,258,422,54.81,29.33,3.6
2023-W04,2023-01-23,Mortgage,West,794,39971.67,252,266,33.62,31.63,4.11
2023-W04,2023-01-23,Mortgage,Scotland,807,68697.54,275,248,30.77,26.04,4.51
2023-W04,2023-01-23,Mortgage,Wales,788,31782.61,249,394,50.06,12.67,4.06
2023-W04,2023-01-23,Credit Card,North,4202,365953.43,1110,1477,35.17,31.03,4.35
2023-W04,2023-01-23,Credit Card,South,4549,370979.55,950,1961,43.11,14.85,3.97
2023-W04,2023-01-23,Credit Card,East,3985,327715.27,951,1902,47.75,23.24,4.53
2023-W04,2023-01-23,Credit Card,West,4168,346882.37,1453,1528,36.67,31.02,3.92
2023-W04,2023-01-23,Credit Card,Scotland,4596,265125.12,762,1516,33.0,32.63,3.74
2023-W04,2023-01-23,Credit Card,Wales,4096,230833.3,1029,1977,48.27,19.18,3.46
2023-W04,2023-01-23,Business Loan,North,625,41026.38,190,286,45.86,30.38,3.94
2023-W04,2023-01-23,Business Loan,South,705,60796.73,166,267,37.96,36.24,3.8
2023-W04,2023-01-23,Business Loan,East,566,31626.02,180,282,49.94,29.19,3.93
2023-W04,2023-01-23,Business Loan,West,608,25403.34,168,316,52.03,12.21,3.96
2023-W04,2023-01-23,Business Loan,Scotland,622,36580.1,210,208,33.51,29.51,3.81
2023-W04,2023-01-23,Business Loan,Wales,550,26164.41,172,201,36.72,31.07,3.56
2023-W05,2023-01-30,Personal Current Account,North,4332,234491.09,821,2691,62.12,34.77,3.94
2023-W05,2023-01-30,Personal Current Account,South,4909,429741.9,1577,3049,62.12,31.49,3.91
2023-W05,2023-01-30,Personal Current Account,East,5373,215779.06,878,3337,62.12,26.5,4.47
2023-W05,2023-01-30,Personal Current Account,West,4899,247043.58,909,3043,62.12,22.87,3.56
2023-W05,2023-01-30,Personal Current Account,Scotland,4829,256679.17,1091,2999,62.12,27.18,3.92
2023-W05,2023-01-30,Personal Current Account,Wales,4802,345195.28,1185,2983,62.12,29.08,3.89
2023-W05,2023-01-30,Savings Account,North,2882,158524.49,565,997,34.62,19.6,3.98
2023-W05,2023-01-30,Savings Account,South,2885,230330.64,659,1218,42.25,21.29,4.16
2023-W05,2023-01-30,Savings Account,East,3064,137348.89,528,1291,42.14,34.9,3.83
2023-W05,2023-01-30,Savings Account,West,3228,175485.6,1110,1581,48.99,20.46,3.81
2023-W05,2023-01-30,Savings Account,Scotland,2708,124001.92,657,1264,46.68,20.29,4.21
2023-W05,2023-01-30,Savings Account,Wales,2852,213467.72,829,939,32.96,32.12,4.2
2023-W05,2023-01-30,Mortgage,North,684,54881.47,169,288,42.21,22.71,4.52
2023-W05,2023-01-30,Mortgage,South,832,45382.7,209,299,35.99,35.14,3.65
2023-W05,2023-01-30,Mortgage,East,729,31376.28,221,362,49.69,18.8,4.6
2023-W05,2023-01-30,Mortgage,West,764,45510.65,182,290,38.06,22.37,3.85
2023-W05,2023-01-30,Mortgage,Scotland,691,36910.36,204,365,52.93,20.84,3.99
2023-W05,2023-01-30,Mortgage,Wales,789,43730.75,183,399,50.58,26.89,4.31
2023-W05,2023-01-30,Credit Card,North,4122,207377.99,1133,1413,34.28,36.64,3.64
2023-W05,2023-01-30,Credit Card,South,4621,261013.53,1252,2100,45.45,12.52,4.4
2023-W05,2023-01-30,Credit Card,East,4075,326491.62,684,1963,48.18,30.32,4.42
2023-W05,2023-01-30,Credit Card,West,4510,353322.88,1175,2386,52.93,29.03,4.43
2023-W05,2023-01-30,Credit Card,Scotland,4481,260368.0,849,1930,43.09,16.08,3.34
2023-W05,2023-01-30,Credit Card,Wales,4458,369952.22,873,1939,43.51,32.83,4.42
2023-W05,2023-01-30,Business Loan,North,567,32078.08,109,299,52.89,31.07,3.98
2023-W05,2023-01-30,Business Loan,South,593,24789.62,91,317,53.62,36.45,3.23
2023-W05,2023-01-30,Business Loan,East,660,39531.93,163,215,32.68,16.08,3.83
2023-W05,2023-01-30,Business Loan,West,618,31827.16,188,232,37.66,18.43,4.07
2023-W05,2023-01-30,Business Loan,Scotland,645,29787.48,197,238,36.93,29.04,4.22
2023-W05,2023-01-30,Business Loan,Wales,591,45522.54,120,197,33.4,14.21,3.83
2023-W06,2023-02-06,Personal Current Account,North,5239,228915.55,1542,3256,62.15,31.82,3.54
2023-W06,2023-02-06,Personal Current Account,South,5193,315573.42,794,3227,62.15,33.59,3.77
2023-W06,2023-02-06,Personal Current Account,East,5375,377559.31,969,3340,62.15,31.13,4.15
2023-W06,2023-02-06,Personal Current Account,West,5193,413523.78,980,3227,62.15,27.75,4.12
2023-W06,2023-02-06,Personal Current Account,Scotland,4474,248796.84,960,2780,62.15,25.32,3.84
2023-W06,2023-02-06,Personal Current Account,Wales,5201,214133.48,1065,3232,62.15,17.27,4.15
2023-W06,2023-02-06,Savings Account,North,3212,233841.74,784,1180,36.76,19.57,4.22
2023-W06,2023-02-06,Savings Account,South,2825,249572.69,740,917,32.48,24.57,3.86
2023-W06,2023-02-06,Savings Account,East,3018,201180.47,600,1594,52.84,12.45,3.41
2023-W06,2023-02-06,Savings Account,West,3301,197011.14,741,1405,42.58,26.21,4.23
2023-W06,2023-02-06,Savings Account,Scotland,3220,164873.8,1111,1058,32.86,22.33,3.63
2023-W06,2023-02-06,Savings Account,Wales,3224,188575.25,846,1159,35.95,28.71,4.77
2023-W06,2023-02-06,Mortgage,North,736,59236.25,254,283,38.46,14.48,4.33
2023-W06,2023-02-06,Mortgage,South,800,66593.11,198,275,34.38,18.5,3.64
2023-W06,2023-02-06,Mortgage,East,823,58288.5,201,277,33.68,30.8,4.35
2023-W06,2023-02-06,Mortgage,West,771,39800.17,233,341,44.32,18.55,4.45
2023-W06,2023-02-06,Mortgage,Scotland,719,40906.37,129,272,37.94,20.36,3.65
2023-W06,2023-02-06,Mortgage,Wales,806,48623.33,121,356,44.28,29.95,4.11
2023-W06,2023-02-06,Credit Card,North,4306,343338.0,1115,2111,49.03,20.14,4.34
2023-W06,2023-02-06,Credit Card,South,4643,260434.68,1354,2156,46.45,25.38,4.36
2023-W06,2023-02-06,Credit Card,East,4466,400322.27,742,2305,51.62,14.73,4.28
2023-W06,2023-02-06,Credit Card,West,4379,257416.46,1319,2085,47.63,16.21,4.72
2023-W06,2023-02-06,Credit Card,Scotland,4280,206766.15,1016,2090,48.85,37.27,4.73
2023-W06,2023-02-06,Credit Card,Wales,4509,275991.88,830,1403,31.13,32.88,3.69
2023-W06,2023-02-06,Business Loan,North,649,50264.84,168,274,42.33,22.38,4.14
2023-W06,2023-02-06,Business Loan,South,630,38917.6,131,236,37.57,35.97,4.47
2023-W06,2023-02-06,Business Loan,East,612,40467.89,167,288,47.07,21.66,3.92
2023-W06,2023-02-06,Business Loan,West,635,29893.18,161,294,46.41,17.32,4.1
2023-W06,2023-02-06,Business Loan,Scotland,624,47251.61,158,283,45.5,18.53,3.45
2023-W06,2023-02-06,Business Loan,Wales,616,53475.04,206,257,41.72,30.72,3.91
2023-W07,2023-02-13,Personal Current Account,North,5495,453995.85,972,3416,62.18,25.63,4.29
2023-W07,2023-02-13,Personal Current Account,South,5071,413136.4,770,3153,62.18,22.82,4.25
2023-W07,2023-02-13,Personal Current Account,East,4700,223332.03,768,2922,62.18,37.4,4.59
2023-W07,2023-02-13,Personal Current Account,West,5597,311148.57,1049,3480,62.18,30.05,4.22
2023-W07,2023-02-13,Personal Current Account,Scotland,5477,366337.77,1184,3405,62.18,13.59,3.93
2023-W07,2023-02-13,Personal Current Account,Wales,4760,301949.2,862,2959,62.18,21.11,4.11
2023-W07,2023-02-13,Savings Account,North,3078,157905.94,848,1359,44.16,36.12,3.98
2023-W07,2023-02-13,Savings Account,South,3096,250892.79,1001,1146,37.04,27.2,4.19
2023-W07,2023-02-13,Savings Account,East,2820,200854.63,650,1066,37.82,18.62,4.26
2023-W07,2023-02-13,Savings Account,West,3155,230215.23,522,1378,43.71,15.96,4.15
2023-W07,2023-02-13,Savings Account,Scotland,3207,173175.68,649,1553,48.45,14.66,3.73
2023-W07,2023-02-13,Savings Account,Wales,3084,213924.29,935,1545,50.1,20.58,3.75
2023-W07,2023-02-13,Mortgage,North,746,51927.94,153,369,49.48,32.99,3.91
2023-W07,2023-02-13,Mortgage,South,754,55362.33,184,391,51.96,16.37,3.94
2023-W07,2023-02-13,Mortgage,East,789,70579.49,132,392,49.76,32.89,4.35
2023-W07,2023-02-13,Mortgage,West,784,37820.88,254,265,33.84,20.41,3.62
2023-W07,2023-02-13,Mortgage,Scotland,854,36388.48,215,449,52.58,23.43,3.85
2023-W07,2023-02-13,Mortgage,Wales,797,44914.51,199,373,46.8,15.05,4.23
2023-W07,2023-02-13,Credit Card,North,4553,268014.52,1034,2011,44.18,24.34,4.43
2023-W07,2023-02-13,Credit Card,South,4629,305973.59,1185,1757,37.97,34.97,3.84
2023-W07,2023-02-13,Credit Card,East,5088,446563.62,1725,2606,51.23,33.67,4.16
2023-W07,2023-02-13,Credit Card,West,4460,365692.37,1168,2139,47.96,24.74,4.39
2023-W07,2023-02-13,Credit Card,Scotland,4567,339183.69,1194,2279,49.9,23.32,4.22
2023-W07,2023-02-13,Credit Card,Wales,5172,213421.43,1154,2011,38.88,24.12,4.02
2023-W07,2023-02-13,Business Loan,North,588,44937.65,113,275,46.93,26.55,4.13
2023-W07,2023-02-13,Business Loan,South,638,55487.09,144,351,55.13,16.65,3.65
2023-W07,2023-02-13,Business Loan,East,529,21442.29,126,258,48.87,25.68,3.92
2023-W07,2023-02-13,Business Loan,West,541,30036.07,91,164,30.32,21.59,3.97
2023-W07,2023-02-13,Business Loan,Scotland,618,53196.33,167,225,36.52,12.87,3.83
2023-W07,2023-02-13,Business Loan,Wales,548,35037.34,87,203,37.05,30.08,4.12
2023-W08,2023-02-20,Personal Current Account,North,5258,276843.68,1446,3271,62.21,37.25,3.59
2023-W08,2023-02-20,Personal Current Account,South,5246,425798.33,1692,3263,62.21,36.12,4.35
2023-W08,2023-02-20,Personal Current Account,East,5286,475008.31,1461,3288,62.21,24.75,4.47
2023-W08,2023-02-20,Personal Current Account,West,5660,360385.9,1839,3521,62.21,31.52,3.99
2023-W08,2023-02-20,Personal Current Account,Scotland,5032,404429.56,793,3130,62.21,12.75,3.98
2023-W08,2023-02-20,Personal Current Account,Wales,5000,423566.28,903,3110,62.21,31.14,4.56
2023-W08,2023-02-20,Savings Account,North,2757,128427.71,644,1433,51.98,33.99,3.84
2023-W08,2023-02-20,Savings Account,South,3247,233374.58,527,1026,31.61,14.53,4.41
2023-W08,2023-02-20,Savings Account,East,2934,261625.28,554,1285,43.81,27.96,4.36
2023-W08,2023-02-20,Savings Account,West,3061,250584.71,978,937,30.63,20.23,4.55
2023-W08,2023-02-20,Savings Account,Scotland,3013,256967.43,805,1444,47.94,36.55,4.41
2023-W08,2023-02-20,Savings Account,Wales,3475,302419.72,801,1498,43.12,33.78,4.28
2023-W08,2023-02-20,Mortgage,North,802,34684.69,252,376,46.95,25.04,4.32
2023-W08,2023-02-20,Mortgage,South,782,34563.18,186,378,48.43,19.16,4.82
2023-W08,2023-02-20,Mortgage,East,808,52740.82,149,284,35.18,31.42,4.02
2023-W08,2023-02-20,Mortgage,West,759,30482.37,155,388,51.16,21.12,4.43
2023-W08,2023-02-20,Mortgage,Scotland,841,57531.69,243,325,38.75,26.72,3.95
2023-W08,2023-02-20,Mortgage,Wales,827,37887.42,139,345,41.79,30.97,3.65
2023-W08,2023-02-20,Credit Card,North,4549,316416.73,1561,1585,34.85,31.93,4.24
2023-W08,2023-02-20,Credit Card,South,4960,252346.41,1115,2476,49.93,14.11,3.87
2023-W08,2023-02-20,Credit Card,East,4154,217406.26,1318,2007,48.32,28.7,3.83
2023-W08,2023-02-20,Credit Card,West,4139,205105.26,1246,2183,52.75,15.45,4.5
2023-W08,2023-02-20,Credit Card,Scotland,4918,370304.24,912,1551,31.54,15.65,4.2
2023-W08,2023-02-20,Credit Card,Wales,4829,247718.13,906,1839,38.1,34.97,4.14
2023-W08,2023-02-20,Business Loan,North,596,32628.98,172,206,34.64,18.88,4.0
2023-W08,2023-02-20,Business Loan,South,588,40533.67,129,249,42.46,28.69,3.64
2023-W08,2023-02-20,Business Loan,East,609,43574.75,192,252,41.45,12.96,4.09
2023-W08,2023-02-20,Business Loan,West,626,37111.81,161,319,51.08,17.48,4.13
2023-W08,2023-02-20,Business Loan,Scotland,594,34063.57,185,283,47.76,32.7,3.84
2023-W08,2023-02-20,Business Loan,Wales,602,45139.58,150,213,35.4,33.58,4.32
2023-W09,2023-02-27,Personal Current Account,North,4656,371151.88,782,2897,62.24,32.11,4.13
2023-W09,2023-02-27,Personal Current Account,South,5069,268204.3,1234,3154,62.24,12.82,3.88
2023-W09,2023-02-27,Personal Current Account,East,4823,220724.16,1358,3001,62.24,16.85,4.17
2023-W09,2023-02-27,Personal Current Account,West,4659,218929.97,1245,2899,62.24,21.68,4.2
2023-W09,2023-02-27,Personal Current Account,Scotland,4731,278634.65,1266,2944,62.24,12.88,4.42
2023-W09,2023-02-27,Personal Current Account,Wales,5701,427942.23,1572,3548,62.24,34.6,3.84
2023-W09,2023-02-27,Savings Account,North,3096,189073.92,671,942,30.44,28.84,3.88
2023-W09,2023-02-27,Savings Account,South,3187,272990.26,673,1043,32.75,24.14,3.72
2023-W09,2023-02-27,Savings Account,East,3086,126796.02,962,1076,34.89,23.87,3.84
2023-W09,2023-02-27,Savings Account,West,2962,182898.83,680,1322,44.64,33.69,3.79
2023-W09,2023-02-27,Savings Account,Scotland,3148,184664.01,684,1150,36.55,29.64,3.85
2023-W09,2023-02-27,Savings Account,Wales,3099,274380.14,1008,1169,37.74,31.84,4.0
2023-W09,2023-02-27,Mortgage,North,794,51886.34,185,418,52.76,32.13,4.14
2023-W09,2023-02-27,Mortgage,South,763,45808.62,118,412,54.09,25.32,4.16
2023-W09,2023-02-27,Mortgage,East,873,73619.88,299,465,53.3,36.51,3.87
2023-W09,2023-02-27,Mortgage,West,856,75859.91,257,301,35.2,15.38,4.55
2023-W09,2023-02-27,Mortgage,Scotland,760,66876.71,261,293,38.57,20.04,3.66
2023-W09,2023-02-27,Mortgage,Wales,814,65180.63,196,401,49.39,16.3,3.94
2023-W09,2023-02-27,Credit Card,North,5004,237062.25,1634,1514,30.26,19.83,4.11
2023-W09,2023-02-27,Credit Card,South,4283,221898.71,816,1381,32.25,14.34,3.76
2023-W09,2023-02-27,Credit Card,East,4794,355885.84,1529,1743,36.36,21.73,3.93
2023-W09,2023-02-27,Credit Card,West,4511,258189.76,1101,1902,42.17,29.86,4.39
2023-W09,2023-02-27,Credit Card,Scotland,4369,374168.38,1239,2084,47.71,33.62,4.09
2023-W09,2023-02-27,Credit Card,Wales,4495,351296.87,760,2152,47.9,15.34,4.3
2023-W09,2023-02-27,Business Loan,North,621,28985.99,189,306,49.32,35.35,4.03
2023-W09,2023-02-27,Business Loan,South,602,46064.2,141,305,50.73,22.24,3.99
2023-W09,2023-02-27,Business Loan,East,546,35170.84,162,174,32.03,27.25,4.18
2023-W09,2023-02-27,Business Loan,West,668,47044.65,202,239,35.78,21.6,3.83
2023-W09,2023-02-27,Business Loan,Scotland,572,46424.61,155,221,38.74,31.54,3.84
2023-W09,2023-02-27,Business Loan,Wales,626,45246.57,111,332,53.1,16.89,4.23
2023-W10,2023-03-06,Personal Current Account,North,4952,250381.13,1174,3083,62.27,20.83,3.82
2023-W10,2023-03-06,Personal Current Account,South,5027,365474.19,1182,3130,62.27,19.41,3.63
2023-W10,2023-03-06,Personal Current Account,East,5043,299255.53,1584,3140,62.27,12.91,4.36
2023-W10,2023-03-06,Personal Current Account,West,4624,406568.15,1083,2879,62.27,16.25,3.64
2023-W10,2023-03-06,Personal Current Account,Scotland,5473,405642.28,1734,3408,62.27,24.09,3.92
2023-W10,2023-03-06,Personal Current Account,Wales,5340,235665.01,1533,3325,62.27,14.64,4.05
2023-W10,2023-03-06,Savings Account,North,2970,238127.21,452,1539,51.83,20.29,4.23
2023-W10,2023-03-06,Savings Account,South,2840,168126.62,684,1267,44.64,24.64,4.14
2023-W10,2023-03-06,Savings Account,East,2931,176109.63,891,1590,54.27,19.88,3.7
2023-W10,2023-03-06,Savings Account,West,3060,219419.93,828,1124,36.74,32.86,4.02
2023-W10,2023-03-06,Savings Account,Scotland,2971,174223.2,727,1233,41.53,20.71,3.74
2023-W10,2023-03-06,Savings Account,Wales,3286,191386.79,1009,1434,43.65,37.5,4.36
2023-W10,2023-03-06,Mortgage,North,846,50060.86,241,368,43.56,15.91,4.01
2023-W10,2023-03-06,Mortgage,South,716,62083.54,191,277,38.7,17.14,4.69
2023-W10,2023-03-06,Mortgage,East,797,60876.01,192,403,50.59,13.26,3.88
2023-W10,2023-03-06,Mortgage,West,820,37783.61,203,305,37.31,21.54,4.45
2023-W10,2023-03-06,Mortgage,Scotland,798,59306.87,159,418,52.5,20.77,4.48
2023-W10,2023-03-06,Mortgage,Wales,851,68895.66,220,320,37.67,16.65,3.78
2023-W10,2023-03-06,Credit Card,North,4318,176502.35,928,1692,39.19,28.54,4.39
2023-W10,2023-03-06,Credit Card,South,3767,217967.0,592,1701,45.16,31.21,4.06
2023-W10,2023-03-06,Credit Card,East,4113,181804.24,694,1500,36.49,30.9,3.96
2023-W10,2023-03-06,Credit Card,West,4419,272011.67,905,2036,46.09,37.27,3.99
2023-W10,2023-03-06,Credit Card,Scotland,4350,227091.9,1370,2066,47.49,33.71,3.77
2023-W10,2023-03-06,Credit Card,Wales,5118,338698.68,1236,2486,48.59,13.99,4.66
2023-W10,2023-03-06,Business Loan,North,558,26414.34,192,220,39.59,28.58,4.57
2023-W10,2023-03-06,Business Loan,South,585,34570.96,202,306,52.32,14.05,4.14
2023-W10,2023-03-06,Business Loan,East,597,46245.62,140,319,53.46,12.58,3.9
