month,region,product,channel,revenue,transactions,avg_ticket,ad_spend
2023-01,South,Mortgage,Online,408300.47,5047,74.75,33981.71
2023-01,South,Mortgage,Telephone,273234.71,4934,54.89,25857.92
2023-01,South,Credit Card,Branch,91491.75,1209,65.85,8588.55
2023-01,South,Credit Card,Mobile App,85431.36,1525,48.1,5980.28
2023-01,South,Credit Card,Online,105168.6,1882,57.79,9234.92
2023-01,South,Credit Card,Telephone,67319.82,1332,54.25,6636.15
2023-01,South,Business Loan,Branch,303207.13,4138,47.57,23811.45
2023-01,South,Business Loan,Mobile App,258747.91,3879,61.63,16683.65
2023-01,South,Business Loan,Online,296989.68,4805,81.19,26992.07
2023-01,South,Business Loan,Telephone,213359.9,2929,79.27,22102.3
2023-01,East,Personal Current Account,Branch,137382.54,2281,45.24,10251.91
2023-01,East,Personal Current Account,Mobile App,132711.06,1766,79.14,15492.71
2023-01,East,Personal Current Account,Online,165326.51,2676,74.9,14586.64
2023-01,East,Personal Current Account,Telephone,101878.1,1473,53.82,6658.7
2023-01,East,Savings Account,Branch,98976.54,1585,46.16,7277.65
2023-01,East,Savings Account,Mobile App,87189.83,1208,61.17,5366.81
2023-01,East,Savings Account,Online,108799.7,1708,50.11,10179.08
2023-01,East,Savings Account,Telephone,75552.02,1639,60.76,6762.47
2023-01,East,Mortgage,Branch,275241.58,5972,70.71,16376.59
2023-01,East,Mortgage,Mobile App,242630.42,3822,47.01,18570.27
2023-01,East,Mortgage,Online,296298.58,5541,58.07,30603.52
2023-01,East,Mortgage,Telephone,198136.23,3293,75.08,21445.22
2023-01,East,Credit Card,Branch,71257.56,1293,48.28,3659.56
2023-01,East,Credit Card,Mobile App,65208.05,979,85.0,4857.82
2023-01,East,Credit Card,Online,79876.37,1124,76.25,7638.0
2023-01,East,Credit Card,Telephone,54410.64,723,82.98,3479.85
2023-01,East,Business Loan,Branch,214545.52,4682,51.1,12622.89
2023-01,East,Business Loan,Mobile App,204211.34,2845,67.56,13326.33
2023-01,East,Business Loan,Online,234496.99,3213,75.68,14479.07
2023-01,East,Business Loan,Telephone,175195.9,2528,74.92,10164.39
2023-01,West,Personal Current Account,Branch,138821.42,1784,83.59,7991.52
2023-01,West,Personal Current Account,Mobile App,117709.68,2557,57.48,11466.61
2023-01,West,Personal Current Account,Online,143276.01,1719,60.87,14334.91
2023-01,West,Personal Current Account,Telephone,101717.88,2117,72.62,9552.02
2023-01,West,Savings Account,Branch,89480.96,1823,75.9,9800.0
2023-01,West,Savings Account,Mobile App,83579.96,1211,49.84,9935.08
2023-01,West,Savings Account,Online,101681.01,1332,58.89,8133.1
2023-01,West,Savings Account,Telephone,66334.19,1108,65.24,4901.18
2023-01,West,Mortgage,Branch,254420.21,3221,77.89,14600.6
2023-01,West,Mortgage,Mobile App,222644.88,2668,70.42,24047.76
2023-01,West,Mortgage,Online,285861.49,3900,62.42,28976.54
2023-01,West,Mortgage,Telephone,200687.02,2400,55.8,21388.01
2023-01,West,Credit Card,Branch,68295.9,1026,64.34,5497.15
2023-01,West,Credit Card,Mobile App,57907.57,779,55.74,6347.82
2023-01,West,Credit Card,Online,75362.46,963,48.47,8419.06
2023-01,West,Credit Card,Telephone,50665.03,925,63.59,4697.82
2023-01,West,Business Loan,Branch,195965.85,3257,46.15,21471.33
2023-01,West,Business Loan,Mobile App,183957.44,3519,53.48,19471.58
2023-01,West,Business Loan,Online,225054.79,3839,80.21,22299.07
2023-01,West,Business Loan,Telephone,142844.44,2548,45.41,16622.0
2023-01,Scotland,Personal Current Account,Branch,129738.55,2679,73.8,10924.04
2023-01,Scotland,Personal Current Account,Mobile App,117699.44,1562,72.62,11206.54
2023-01,Scotland,Personal Current Account,Online,147496.52,2282,76.72,8335.58
2023-01,Scotland,Personal Current Account,Telephone,98220.75,1823,72.67,7016.34
2023-01,Scotland,Savings Account,Branch,80572.94,1180,63.93,7023.1
2023-01,Scotland,Savings Account,Mobile App,73865.87,1190,74.84,5403.69
2023-01,Scotland,Savings Account,Online,96189.64,1315,55.84,6502.25
2023-01,Scotland,Savings Account,Telephone,64123.29,1286,52.7,3742.8
2023-01,Scotland,Mortgage,Branch,253833.9,3820,75.49,15981.51
2023-01,Scotland,Mortgage,Mobile App,258334.66,4814,64.37,26019.71
2023-01,Scotland,Mortgage,Online,281167.28,3344,65.99,19628.26
2023-01,Scotland,Mortgage,Telephone,191584.15,3908,52.76,12629.96
2023-01,Scotland,Credit Card,Branch,66394.49,1272,45.57,5802.18
2023-01,Scotland,Credit Card,Mobile App,59058.33,1055,83.97,5240.55
2023-01,Scotland,Credit Card,Online,69794.6,957,50.05,7732.7
2023-01,Scotland,Credit Card,Telephone,48554.63,751,79.91,4378.87
2023-01,Scotland,Business Loan,Branch,185930.97,2915,62.62,11696.07
2023-01,Scotland,Business Loan,Mobile App,171040.09,3634,82.64,14271.76
2023-01,Scotland,Business Loan,Online,207940.99,2669,61.03,11475.38
2023-01,Scotland,Business Loan,Telephone,141834.99,2021,47.14,8573.05
2023-01,Wales,Personal Current Account,Branch,123309.29,1826,57.15,14744.62
2023-01,Wales,Personal Current Account,Mobile App,93987.38,1889,75.58,8688.4
2023-01,Wales,Personal Current Account,Online,128164.16,1672,54.03,11096.46
2023-01,Wales,Personal Current Account,Telephone,77795.46,1234,62.71,8573.97
2023-01,Wales,Savings Account,Branch,73819.67,872,57.22,6900.07
2023-01,Wales,Savings Account,Mobile App,70665.58,1018,74.6,8220.62
2023-01,Wales,Savings Account,Online,83373.82,1563,53.44,8023.06
2023-01,Wales,Savings Account,Telephone,53049.99,1034,51.95,2931.25
2023-01,Wales,Mortgage,Branch,213171.06,4725,63.02,19519.39
2023-01,Wales,Mortgage,Mobile App,202873.96,3581,54.26,20183.3
2023-01,Wales,Mortgage,Online,235463.98,3220,63.16,23103.01
2023-01,Wales,Mortgage,Telephone,163100.05,1990,76.51,15291.29
2023-01,Wales,Credit Card,Branch,56532.86,791,82.35,4509.05
2023-01,Wales,Credit Card,Mobile App,49463.29,740,70.91,5618.48
2023-01,Wales,Credit Card,Online,67718.71,867,47.86,4172.46
2023-01,Wales,Credit Card,Telephone,42634.33,743,74.96,3830.46
2023-01,Wales,Business Loan,Branch,155576.54,2751,49.97,15278.78
2023-01,Wales,Business Loan,Mobile App,153497.33,2103,82.71,13052.35
2023-01,Wales,Business Loan,Online,182156.93,2813,48.22,9616.11
2023-01,Wales,Business Loan,Telephone,128993.3,2071,57.89,8710.37
2023-03,North,Personal Current Account,Branch,182137.07,3743,83.48,19764.99
2023-03,North,Personal Current Account,Mobile App,169498.51,2492,83.03,20334.75
2023-03,North,Personal Current Account,Online,212099.47,2950,55.78,11202.29
2023-03,North,Personal Current Account,Telephone,143399.75,1905,63.82,13709.83
2023-03,North,Savings Account,Branch,119379.31,1462,52.26,10860.3
2023-03,North,Savings Account,Mobile App,112001.1,1591,64.67,6315.4
2023-03,North,Savings Account,Online,135966.9,2307,58.33,13176.46
2023-03,North,Savings Account,Telephone,89985.3,1134,58.19,8868.7
2023-03,North,Mortgage,Branch,391578.6,6927,82.81,41879.18
2023-03,North,Mortgage,Mobile App,336463.58,5021,63.19,24230.83
2023-03,North,Mortgage,Online,383861.51,6626,83.81,30053.38
2023-03,North,Mortgage,Telephone,279394.55,4260,84.52,26832.0
2023-03,North,Credit Card,Branch,102033.55,1529,61.53,6441.46
2023-03,North,Credit Card,Mobile App,88656.16,1490,75.26,8314.05
2023-03,North,Credit Card,Online,97632.46,1294,53.14,8635.14
2023-03,North,Credit Card,Telephone,67957.7,827,62.52,6719.49
2023-03,North,Business Loan,Branch,296448.36,5945,83.93,27457.35
2023-03,North,Business Loan,Mobile App,248189.88,4547,51.34,21979.38
2023-03,North,Business Loan,Online,317386.2,4730,48.73,37914.32
2023-03,North,Business Loan,Telephone,214341.86,2629,63.46,12479.55
2023-03,South,Personal Current Account,Branch,205824.74,2629,64.94,20615.87
2023-03,South,Personal Current Account,Mobile App,193039.27,2953,55.94,20931.38
2023-03,South,Personal Current Account,Online,205620.02,2441,54.75,18215.58
2023-03,South,Personal Current Account,Telephone,151046.36,2503,81.87,12926.07
2023-03,South,Savings Account,Branch,141060.36,1759,79.56,9780.75
2023-03,South,Savings Account,Mobile App,122561.44,1600,61.6,14143.27
2023-03,South,Savings Account,Online,167784.19,2569,77.82,11711.12
2023-03,South,Savings Account,Telephone,98993.41,1738,68.48,11871.6
2023-03,South,Mortgage,Branch,408309.26,6321,50.94,35808.98
2023-03,South,Mortgage,Mobile App,378217.65,6431,67.08,33298.32
2023-03,South,Mortgage,Online,485858.4,7685,57.87,30709.0
2023-03,South,Mortgage,Telephone,288660.69,3959,67.87,19152.46
2023-03,South,Credit Card,Branch,111847.53,1471,46.75,11422.92
2023-03,South,Credit Card,Mobile App,96789.6,1322,77.46,7455.27
2023-03,South,Credit Card,Online,113487.37,1586,77.83,13466.1
2023-03,South,Credit Card,Telephone,80205.63,1237,46.48,6830.34
2023-03,South,Business Loan,Branch,323177.94,4710,79.79,35935.23
2023-03,South,Business Loan,Mobile App,283281.48,4524,66.04,23224.82
2023-03,South,Business Loan,Online,355364.44,4808,61.4,34056.24
2023-03,South,Business Loan,Telephone,232608.79,4545,63.78,27411.61
2023-03,East,Personal Current Account,Branch,163187.64,2787,72.71,15582.55
2023-03,East,Personal Current Account,Mobile App,150954.92,1909,79.09,16628.28
2023-03,East,Personal Current Account,Online,190940.77,3171,57.67,19153.31
2023-03,East,Personal Current Account,Telephone,113773.34,1509,79.9,5974.57
2023-03,East,Savings Account,Branch,117540.3,2462,70.25,13454.25
2023-03,East,Savings Account,Mobile App,90384.69,1064,74.87,7264.94
2023-03,East,Savings Account,Online,118973.25,2431,70.35,13215.61
2023-03,East,Savings Account,Telephone,81677.91,1301,72.76,9249.18
2023-03,East,Mortgage,Branch,319425.33,6819,76.85,22530.9
2023-03,East,Mortgage,Mobile App,278827.56,4647,50.82,24308.64
2023-03,East,Mortgage,Online,346218.57,5118,76.7,21430.53
2023-03,East,Mortgage,Telephone,228160.16,4737,79.83,21305.53
2023-03,East,Credit Card,Branch,79310.15,1451,81.51,4760.06
2023-03,East,Credit Card,Mobile App,76028.85,1198,55.16,5160.3
2023-03,East,Credit Card,Online,91057.04,2006,77.19,10297.15
2023-03,East,Credit Card,Telephone,58191.17,807,51.32,4708.89
2023-03,East,Business Loan,Branch,252443.4,4291,68.5,23912.88
2023-03,East,Business Loan,Mobile App,223301.49,3603,55.0,24378.11
2023-03,East,Business Loan,Online,278081.96,5249,60.39,23310.1
2023-03,East,Business Loan,Telephone,184071.99,3378,67.88,16610.07
2023-03,West,Personal Current Account,Branch,148796.71,1756,56.81,17625.88
2023-03,West,Personal Current Account,Mobile App,136198.22,1909,55.98,12205.41
2023-03,West,Personal Current Account,Online,175184.59,2418,74.79,9360.66
2023-03,West,Personal Current Account,Telephone,116168.64,1677,64.87,13160.85
2023-03,West,Savings Account,Branch,102514.22,1816,76.95,9482.01
2023-03,West,Savings Account,Mobile App,93315.89,1579,70.46,8721.53
2023-03,West,Savings Account,Online,119195.49,1652,73.84,11459.78
2023-03,West,Savings Account,Telephone,73811.09,939,70.13,8358.24
2023-03,West,Mortgage,Branch,305798.76,4315,57.36,24726.16
2023-03,West,Mortgage,Mobile App,268709.04,3941,74.29,15130.83
2023-03,West,Mortgage,Online,327870.08,5771,74.9,20424.6
2023-03,West,Mortgage,Telephone,230191.21,4577,66.58,27163.55
2023-03,West,Credit Card,Branch,79490.63,1200,81.54,8595.57
2023-03,West,Credit Card,Mobile App,71926.76,1301,77.99,6022.38
2023-03,West,Credit Card,Online,89491.24,1158,74.86,6596.41
2023-03,West,Credit Card,Telephone,56747.64,1143,83.52,3396.52
2023-03,West,Business Loan,Branch,237147.15,2834,79.41,23879.57
2023-03,West,Business Loan,Mobile App,206386.42,2451,83.69,21943.24
2023-03,West,Business Loan,Online,258458.44,4334,76.63,13174.74
2023-03,West,Business Loan,Telephone,169214.51,2545,63.19,16430.39
2023-03,Scotland,Personal Current Account,Branch,145913.93,2029,68.38,15695.85
2023-03,Scotland,Personal Current Account,Mobile App,134712.43,1630,49.33,8940.53
2023-03,Scotland,Personal Current Account,Online,155392.11,3378,80.37,13876.28
2023-03,Scotland,Personal Current Account,Telephone,116063.79,1422,53.85,6316.79
2023-03,Scotland,Savings Account,Branch,93000.68,1193,81.38,6617.31
2023-03,Scotland,Savings Account,Mobile App,83459.65,1360,50.59,9701.21
2023-03,Scotland,Savings Account,Online,112061.35,1959,64.7,6365.47
2023-03,Scotland,Savings Account,Telephone,73660.99,915,50.43,6022.16
2023-03,Scotland,Mortgage,Branch,289680.67,4033,74.73,33666.16
2023-03,Scotland,Mortgage,Mobile App,262280.49,4246,74.69,15951.01
2023-03,Scotland,Mortgage,Online,312221.98,5068,48.96,26306.04
2023-03,Scotland,Mortgage,Telephone,200775.87,3273,83.06,10498.6
2023-03,Scotland,Credit Card,Branch,72895.36,1218,62.74,8495.14
2023-03,Scotland,Credit Card,Mobile App,64007.98,807,48.97,6272.63
2023-03,Scotland,Credit Card,Online,83458.06,1249,84.11,6268.3
2023-03,Scotland,Credit Card,Telephone,53235.0,873,52.59,3116.97
2023-03,Scotland,Business Loan,Branch,210825.84,2671,63.19,20322.31
2023-03,Scotland,Business Loan,Mobile App,194832.72,2757,68.89,10032.92
2023-03,Scotland,Business Loan,Online,244955.25,3203,54.74,14406.96
2023-03,Scotland,Business Loan,Telephone,157027.51,2323,47.74,16261.93
2023-03,Wales,Personal Current Account,Branch,124032.01,2327,53.64,13752.51
2023-03,Wales,Personal Current Account,Mobile App,117231.68,2016,50.9,13251.54
2023-03,Wales,Personal Current Account,Online,143138.96,3172,79.34,8606.68
2023-03,Wales,Personal Current Account,Telephone,92583.75,1844,55.03,5760.08
2023-03,Wales,Savings Account,Branch,83889.05,1174,46.03,4281.72
2023-03,Wales,Savings Account,Mobile App,78118.43,1019,54.52,5676.4
2023-03,Wales,Savings Account,Online,89026.24,1713,47.1,9073.58
2023-03,Wales,Savings Account,Telephone,59453.19,900,74.83,4954.66
2023-03,Wales,Mortgage,Branch,242208.52,3181,65.53,13959.39
2023-03,Wales,Mortgage,Mobile App,223822.57,3435,82.82,11870.55
2023-03,Wales,Mortgage,Online,279052.76,3655,79.68,24138.51
2023-03,Wales,Mortgage,Telephone,194593.87,3073,83.56,10558.23
2023-03,Wales,Credit Card,Branch,66324.9,1033,61.06,6501.62
2023-03,Wales,Credit Card,Mobile App,57678.62,892,81.39,3180.65
2023-03,Wales,Credit Card,Online,70821.09,1468,69.33,3866.67
2023-03,Wales,Credit Card,Telephone,45355.22,809,70.32,4008.72
2023-03,Wales,Business Loan,Branch,192232.54,3313,84.79,16750.95
2023-03,Wales,Business Loan,Mobile App,172139.2,2725,69.22,9802.04
2023-03,Wales,Business Loan,Online,215369.72,2947,79.11,20581.63
2023-03,Wales,Business Loan,Telephone,137059.6,1809,73.83,8915.95
2023-04,North,Personal Current Account,Branch,192007.56,3044,54.14,14155.8
2023-04,North,Personal Current Account,Mobile App,181770.49,2878,61.64,10298.39
2023-04,North,Personal Current Account,Online,206995.55,3334,71.6,15773.28
2023-04,North,Personal Current Account,Telephone,140827.09,2755,81.92,7703.15
2023-04,North,Savings Account,Branch,128861.76,1646,48.73,7314.13
2023-04,North,Savings Account,Mobile App,112347.55,1506,77.47,9992.86
2023-04,North,Savings Account,Online,139842.37,2042,67.46,10219.01
2023-04,North,Savings Account,Telephone,92446.54,1853,59.14,8927.92
2023-04,North,Mortgage,Branch,367179.0,4894,79.72,36892.03
2023-04,North,Mortgage,Mobile App,322727.74,3854,69.02,24080.41
2023-04,North,Mortgage,Online,404646.33,5940,53.51,38834.53
2023-04,North,Mortgage,Telephone,274868.42,5093,49.33,30009.07
2023-04,North,Credit Card,Branch,99509.2,1666,75.5,8974.44
2023-04,North,Credit Card,Mobile App,88920.89,1150,78.81,10512.07
2023-04,North,Credit Card,Online,112902.93,1452,69.54,10724.53
2023-04,North,Credit Card,Telephone,67172.91,1458,82.16,7258.86
2023-04,North,Business Loan,Branch,291995.01,5242,52.22,28962.67
2023-04,North,Business Loan,Mobile App,258789.06,4511,58.59,13050.06
2023-04,North,Business Loan,Online,339165.6,4250,67.65,26473.54
2023-04,North,Business Loan,Telephone,201178.19,3969,70.33,10490.64
2023-04,South,Personal Current Account,Branch,206570.38,2759,53.61,16399.27
2023-04,South,Personal Current Account,Mobile App,189958.73,3239,59.8,19093.08
2023-04,South,Personal Current Account,Online,216179.19,2841,67.7,12094.58
2023-04,South,Personal Current Account,Telephone,154187.74,3273,51.3,14377.8
2023-04,South,Savings Account,Branch,138172.94,1920,55.88,13310.99
2023-04,South,Savings Account,Mobile App,130530.54,2026,62.68,9022.49
2023-04,South,Savings Account,Online,159653.06,2123,49.55,12787.24
2023-04,South,Savings Account,Telephone,112879.92,2003,72.14,9489.17
2023-04,South,Mortgage,Branch,431425.8,6018,46.82,33508.17
2023-04,South,Mortgage,Mobile App,369704.62,5360,45.31,26285.76
2023-04,South,Mortgage,Online,442866.63,8285,50.49,30064.61
